meta.store_time,meta.seq_idx,meta.phys_time,msg.header.timestamp,msg.header.err_code,msg.header.cntr,msg.header.chks,msg.OSM2_Bus_INSinf.INSAx,msg.OSM2_Bus_INSinf.INSAy,msg.OSM2_Bus_INSinf.INSAz,msg.OSM2_Bus_INSinf.INSCalStatus.data,msg.OSM2_Bus_INSinf.INSEastSpd,msg.OSM2_Bus_INSinf.INSEastSpdStd,msg.OSM2_Bus_INSinf.INSGroundSpdStd,msg.OSM2_Bus_INSinf.INSGx,msg.OSM2_Bus_INSinf.INSGy,msg.OSM2_Bus_INSinf.INSGz,msg.OSM2_Bus_INSinf.INSHeadingAngle,msg.OSM2_Bus_INSinf.INSHeadingAngleStd,msg.OSM2_Bus_INSinf.INSLatitude,msg.OSM2_Bus_INSinf.INSLocatHeight,msg.OSM2_Bus_INSinf.INSLongitude,msg.OSM2_Bus_INSinf.INSNavStatus,msg.OSM2_Bus_INSinf.INSNorthSpd,msg.OSM2_Bus_INSinf.INSNorthSpdStd,msg.OSM2_Bus_INSinf.INSPitchAngle,msg.OSM2_Bus_INSinf.INSPitchAngleStd,msg.OSM2_Bus_INSinf.INSRollAngle,msg.OSM2_Bus_INSinf.INSRollAngleStd,msg.OSM2_Bus_INSinf.INSStdLat,msg.OSM2_Bus_INSinf.INSStdLocatHeight,msg.OSM2_Bus_INSinf.INSStdLon,msg.OSM2_Bus_INSinf.INSTimestamp,msg.OSM2_Bus_INSinf.INSToGroundSpd,msg.OSM2_Bus_INSinf.INS_DR_ValidSta,msg.OSM2_Bus_INSinf.INS_PreciousLvl,msg.OSM2_Bus_INSinf.INSinfChks,msg.OSM2_Bus_INSinf.INSinfCntr,msg.OSM2_Bus_INSinf.INSinfReserve,msg.OSM2_Bus_LOCSts.GNSSDatFr.data,msg.OSM2_Bus_LOCSts.GNSSDatLose.data,msg.OSM2_Bus_LOCSts.GNSSDatatt.data,msg.OSM2_Bus_LOCSts.GNSSTimestampHi,msg.OSM2_Bus_LOCSts.GNSSTimestampLo,msg.OSM2_Bus_LOCSts.IMUDatSts.data,msg.OSM2_Bus_LOCSts.IMUDatStsfr.data,msg.OSM2_Bus_LOCSts.INSSysStatus,msg.OSM2_Bus_LOCSts.LOCStsChks,msg.OSM2_Bus_LOCSts.LOCStsCntr,msg.OSM2_Bus_LOCSts.Reserve1LOCSts,msg.OSM2_Bus_LOCSts.Reserve2LOCSts,msg.OSM2_Bus_LOCSts.VehicleDatatt.data,msg.OSM2_Bus_LOCSts.VehicleDatlose.data,msg.OSM2_Bus_LOCSts.VehicleSpedfr.data,msg.OSM2_Bus_LOCSts.Vehicleerr.data,Latitude,Longitude
1735785929649581,240795,2479019,2481048879997,0,240795,0,-1.610001,0.279999,9.759998,1,1.945091,0.064,0.063,0.01,-0.003,-0.000999,13.304291,0.192,2114396042,12.199036,3006552376,2,8.179718,0.064,-0.032715,0.13,1.285614,0.19,0.102,0.115,0.137,2481038176,-0.001892,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437520873061843,120.6594777298325
1735785929667653,240796,2479034,2481064621809,0,240796,0,-1.580002,0.200001,9.669998,1,1.938988,0.065,0.064,0.011001,-0.003,-0.002,13.304291,0.192,2114396049,12.199036,3006552378,2,8.164459,0.066,-0.032715,0.13,1.2966,0.19,0.102,0.115,0.137,2481048176,-0.001892,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437521573582526,120.65947793027706
1735785929672632,240797,2479038,2481068169905,0,240797,0,-1.610001,0.18,9.629997,1,1.935936,0.066,0.065,0.016001,-0.003,-0.000999,13.304291,0.192,2114396057,12.199036,3006552380,2,8.1492,0.067,-0.032715,0.13,1.307587,0.19,0.102,0.115,0.137,2481058176,0.00116,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.43752237412603,120.65947813072981
1735785929683181,240798,2479051,2481081662471,0,240798,0,-1.610001,0.139999,9.59,1,1.932884,0.067,0.067,0.011001,-0.002,-0.000999,13.304291,0.192,2114396064,12.199036,3006552382,2,8.133942,0.069,-0.032715,0.13,1.307587,0.19,0.102,0.115,0.137,2481068176,0.00116,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.43752307464674,120.65947833117431
1735785929685173,240799,2479058,2481088503966,0,240799,0,-1.639999,0.059998,9.77,1,1.929832,0.068,0.067,0.011001,-0.003,0.0,13.304291,0.193,2114396071,12.199036,3006552384,2,8.115631,0.07,-0.021729,0.13,1.318573,0.19,0.102,0.115,0.137,2481078181,0.004211,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437523775167424,120.6594785316188
1735785929701741,240800,2479068,2481097797751,0,240800,0,-1.670002,0.200001,9.829998,1,1.926781,0.069,0.068,0.006001,-0.002,-0.000999,13.304291,0.193,2114396079,12.199036,3006552386,2,8.100372,0.071,-0.021729,0.13,1.318573,0.19,0.102,0.115,0.137,2481088181,0.00116,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437524575710928,120.65947873207156
1735785929706893,240801,2479081,2481110816523,0,240801,0,-1.560001,0.239998,9.689999,1,1.926781,0.07,0.069,0.007,-0.002,0.001,13.304291,0.193,2114396086,12.199036,3006552388,2,8.085114,0.073,-0.021729,0.13,1.329559,0.19,0.102,0.115,0.138,2481098181,0.00116,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.43752527623161,120.65947893251612
1735785929721634,240802,2479088,2481117707859,0,240802,0,-1.549999,0.139999,9.879997,1,1.923729,0.071,0.07,0.008,-0.002,0.0,13.304291,0.193,2114396093,12.199036,3006552390,2,8.069855,0.074,-0.021729,0.13,1.329559,0.19,0.102,0.115,0.138,2481108181,0.004211,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437525976752323,120.65947913296061
1735785929737042,240803,2479103,2481132881320,0,240803,0,-1.59,0.290001,9.639999,1,1.917625,0.072,0.071,0.007,-0.003,-0.000999,13.304291,0.193,2114396100,12.199036,3006552392,2,8.054596,0.075,-0.021729,0.13,1.340546,0.19,0.102,0.115,0.138,2481118181,0.004211,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437526677273002,120.65947933340512
1735785929746131,240804,2479107,2481137091080,0,240804,0,-1.580002,0.25,9.629997,1,1.914574,0.073,0.072,0.005,-0.000999,0.0,13.304291,0.193,2114396108,12.199036,3006552394,2,8.039337,0.076,-0.021729,0.131,1.340546,0.19,0.102,0.115,0.138,2481128197,0.00116,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.437527477816506,120.65947953385788
