LON, LAT
120.688553272, 31.3956519816
120.68855237, 31.3956535804
120.688551468, 31.3956550791
120.688550466, 31.3956565777
120.688549565, 31.3956581765
120.688548663, 31.3956596752
120.688547761, 31.395661174
120.68854686, 31.3956627728
120.688545858, 31.3956642713
120.688544956, 31.3956657701
120.688544054, 31.3956673688
120.688543153, 31.3956688676
120.688542251, 31.3956703663
120.688541249, 31.3956719649
120.688540347, 31.3956734637
120.688539446, 31.3956749624
120.688538544, 31.3956765612
120.688537542, 31.3956780598
120.68853664, 31.3956795585
120.688535739, 31.3956811573
120.688534837, 31.3956826561
120.688533835, 31.3956841546
120.688532933, 31.3956857534
120.688532032, 31.3956872522
120.68853113, 31.3956887509
120.688530228, 31.3956903497
120.688529226, 31.3956918482
120.688528325, 31.395693347
120.688527423, 31.3956948457
120.688526421, 31.3956964443
120.688525519, 31.3956979431
120.688524618, 31.3956994418
120.688523716, 31.3957010406
120.688522814, 31.3957025394
120.688521812, 31.3957040379
120.688520911, 31.3957056367
120.688520009, 31.3957071355
120.688519007, 31.395708634
120.688518105, 31.3957102328
120.688517204, 31.3957117316
120.688516302, 31.3957132303
120.6885154, 31.3957148291
120.688514398, 31.3957163276
120.688513497, 31.3957178264
120.688512595, 31.3957193251
120.688511593, 31.3957209237
120.688510691, 31.3957224225
120.68850979, 31.3957239212
120.688508888, 31.39572552
120.688507886, 31.3957270186
120.688506984, 31.3957285173
120.688506083, 31.3957301161
120.688505181, 31.3957316149
120.688504179, 31.3957331134
120.688503277, 31.3957347122
120.688502376, 31.3957362109
120.688501374, 31.3957377095
120.688500472, 31.3957392083
120.68849957, 31.395740807
120.688498568, 31.3957423056
120.688497667, 31.3957438044
120.688496765, 31.3957454031
120.688495863, 31.3957469019
120.688494861, 31.3957484004
120.68849396, 31.3957499992
120.688493058, 31.395751498
120.688492056, 31.3957529965
120.688491154, 31.3957544953
120.688490253, 31.3957560941
120.688489251, 31.3957575926
120.688488349, 31.3957590914
120.688487447, 31.3957606902
120.688486445, 31.3957621887
120.688485544, 31.3957636875
120.688484642, 31.3957651862
120.68848364, 31.3957667848
120.688482738, 31.3957682836
120.688481837, 31.3957697823
120.688480835, 31.3957713809
120.688479933, 31.3957728796
120.688479031, 31.3957743784
120.688478029, 31.395775877
120.688477128, 31.3957774757
120.688476226, 31.3957789745
120.688475224, 31.3957804731
120.688474322, 31.3957820718
120.688473421, 31.3957835706
120.688472419, 31.3957850691
120.688471517, 31.3957865679
120.688470515, 31.3957881665
120.688469613, 31.3957896652
120.688468712, 31.395791164
120.68846771, 31.3957927626
120.688466808, 31.3957942613
120.688465906, 31.3957957601
120.688464905, 31.3957972586
120.688464003, 31.3957988574
120.688463001, 31.395800356
120.688462099, 31.3958018547
120.688461097, 31.3958033533
120.688460196, 31.3958049521
120.688459294, 31.3958064508
120.688458292, 31.3958079494
120.68845739, 31.3958094481
120.688456388, 31.3958110467
120.688455487, 31.3958125455
120.688454485, 31.395814044
120.688453583, 31.3958155428
120.688452681, 31.3958171416
120.68845168, 31.3958186401
120.688450778, 31.3958201389
120.688449776, 31.3958216374
120.688448874, 31.3958231362
120.688447872, 31.3958247348
120.688446971, 31.3958262335
120.688445969, 31.3958277321
120.688445067, 31.3958292308
120.688444065, 31.3958308294
120.688443163, 31.3958323282
120.688442161, 31.3958338267
120.68844116, 31.3958353253
120.688440258, 31.3958368241
120.688439356, 31.3958384228
120.688438354, 31.3958399214
120.688437352, 31.39584142
120.688436451, 31.3958429187
120.688435449, 31.3958444173
120.688434547, 31.395846016
120.688433545, 31.3958475146
120.688432643, 31.3958490134
120.688431642, 31.3958505119
120.68843064, 31.3958520105
120.688429738, 31.3958536093
120.688428736, 31.3958551078
120.688427834, 31.3958566066
120.688426832, 31.3958581051
120.68842583, 31.3958596037
120.688424929, 31.3958612025
120.688423927, 31.395862701
120.688422925, 31.3958641996
120.688422023, 31.3958656984
120.688421021, 31.3958671969
120.68842012, 31.3958686957
120.688419118, 31.3958702943
120.688418116, 31.3958717928
120.688417214, 31.3958732916
120.688416212, 31.3958747901
120.68841521, 31.3958762887
120.688414208, 31.3958777873
120.688413307, 31.395879386
120.688412305, 31.3958808846
120.688411403, 31.3958823833
120.688410401, 31.3958838819
120.688409399, 31.3958853805
120.688408397, 31.395886879
120.688407496, 31.3958883778
120.688406494, 31.3958899764
120.688405492, 31.3958914749
120.68840449, 31.3958929735
120.688403588, 31.3958944722
120.688402586, 31.3958959708
120.688401584, 31.3958974694
120.688400583, 31.3958989679
120.688399681, 31.3959004667
120.688398679, 31.3959020653
120.688397677, 31.3959035638
120.688396675, 31.3959050624
120.688395773, 31.3959065612
120.688394771, 31.3959080597
120.68839377, 31.3959095583
120.688392768, 31.3959110568
120.688391866, 31.3959125556
120.688390864, 31.3959141542
120.688389862, 31.3959156527
120.68838886, 31.3959171513
120.688387858, 31.3959186499
120.688386856, 31.3959201484
120.688385955, 31.3959216472
120.688384953, 31.3959231457
120.688383951, 31.3959246443
120.688382949, 31.3959261429
120.688381947, 31.3959277415
120.688381045, 31.3959292402
120.688380043, 31.3959307388
120.688379042, 31.3959322373
120.68837804, 31.3959337359
120.688377038, 31.3959352345
120.688376036, 31.395936733
120.688375034, 31.3959382316
120.688374032, 31.3959397301
120.68837303, 31.3959412287
120.688372128, 31.3959427275
120.688371126, 31.395944226
120.688370125, 31.3959458246
120.688369123, 31.3959473232
120.688368121, 31.3959488217
120.688367119, 31.3959503203
120.688366117, 31.3959518189
120.688365115, 31.3959533174
120.688364113, 31.395954816
120.688363111, 31.3959563145
120.688362109, 31.3959578131
120.688361107, 31.3959593117
120.688360106, 31.3959608102
120.688359104, 31.3959623088
120.688358102, 31.3959638074
120.6883571, 31.3959653059
120.688356098, 31.3959668045
120.688355096, 31.395968303
120.688354094, 31.3959698016
120.688353092, 31.3959713002
120.68835209, 31.3959728988
120.688351088, 31.3959743973
120.688350086, 31.3959758959
120.688349085, 31.3959773944
120.688348083, 31.395978893
120.688347081, 31.3959803916
120.688346079, 31.3959818901
120.688345077, 31.3959833887
120.688344075, 31.3959848873
120.688343073, 31.3959863858
120.688342071, 31.3959878844
120.688341069, 31.3959893829
120.688340067, 31.3959908815
120.688339065, 31.3959923801
120.688338064, 31.3959938786
120.688336961, 31.395995377
