LON, LAT
120.688555213, 31.3956486247
120.688550603, 31.3956563361
120.688545909, 31.3956639636
120.688541215, 31.395671675
120.688535683, 31.3956808951
120.688530989, 31.3956886902
120.688526379, 31.3956963178
120.688522691, 31.3957025204
120.688517159, 31.3957116567
120.688512549, 31.395719368
120.688507939, 31.3957269955
120.688503413, 31.3957346231
120.688498719, 31.3957422506
120.688494109, 31.3957498781
120.688489415, 31.3957575057
120.688484721, 31.3957651332
120.688479189, 31.3957741857
120.688474663, 31.3957815617
120.688469969, 31.3957891054
120.688465275, 31.395796733
120.688460497, 31.3958044443
120.688454546, 31.3958140835
120.688449852, 31.3958216272
120.688445242, 31.3958289195
120.68844147, 31.3958348706
120.688435938, 31.3958438393
120.688431077, 31.3958515506
120.688427053, 31.3958579209
120.688421102, 31.395867141
120.688416408, 31.395874517
120.688411631, 31.3958819769
120.688405847, 31.395891197
120.688400902, 31.3958988246
120.68839604, 31.3959063683
120.688391095, 31.3959139958
120.68838615, 31.3959215395
120.688381204, 31.3959290832
120.688375337, 31.3959381357
120.688370308, 31.3959456794
120.688365363, 31.3959532231
120.688360417, 31.3959607668
120.688354466, 31.3959698193
120.688349437, 31.395977363
120.688344408, 31.3959848229
120.688339295, 31.3959923666
120.688333176, 31.3960013352
120.688328147, 31.3960087113
120.688323202, 31.3960159197
120.688318005, 31.3960235473
120.688311635, 31.396032935
120.688306605, 31.3960403111
120.68830166, 31.3960476033
120.688296547, 31.3960548956
120.688291602, 31.3960621879
120.688285232, 31.3960714079
120.688279867, 31.3960792031
120.688275844, 31.3960851543
120.688270815, 31.3960925303
120.688264612, 31.3961015828
120.688259415, 31.3961090427
120.688254219, 31.3961165864
120.688249106, 31.3961241301
120.688243909, 31.3961317576
120.688237706, 31.3961408101
120.688232509, 31.39614827
120.688227396, 31.3961557299
120.6882222, 31.3961632736
120.688217087, 31.3961707335
120.688210884, 31.3961797021
120.688206777, 31.3961857371
120.688200658, 31.3961945381
120.688195629, 31.3962018304
120.688191438, 31.396208033
120.688184984, 31.3962174207
120.688179787, 31.3962248806
120.68817459, 31.3962324243
120.68816931, 31.396239968
120.688164113, 31.3962474279
120.688158832, 31.3962549716
120.688153552, 31.3962624315
120.688147265, 31.396271484
120.688141985, 31.3962789439
120.688136704, 31.3962864038
120.68813134, 31.3962939475
120.688126059, 31.3963014074
120.688119689, 31.396310376
120.688115414, 31.396316411
120.688109044, 31.3963253796
120.68810368, 31.3963328395
120.688098315, 31.3963403832
120.688093537, 31.3963475917
120.688087586, 31.3963563088
120.688082557, 31.3963639364
120.68807736, 31.3963714801
120.688071996, 31.3963792752
120.688066548, 31.3963869866
120.688062105, 31.3963930216
120.688055484, 31.3964022417
120.688050035, 31.3964095339
120.688044671, 31.3964168262
120.688039558, 31.3964236155
120.688034445, 31.3964304049
120.688027656, 31.3964394573
120.688023129, 31.3964455761
120.688016089, 31.39645488
120.688011311, 31.3964613341
120.688004605, 31.3964702189
120.68799899, 31.3964776788
120.687993374, 31.3964850549
120.687987758, 31.3964924309
120.687982058, 31.396499807
120.687975269, 31.396508608
120.687969569, 31.3965159003
120.687963869, 31.3965232763
120.687958505, 31.3965302333
120.687953057, 31.3965371903
120.687947273, 31.3965446502
120.687941406, 31.3965521101
120.687935706, 31.3965593185
120.687930007, 31.396566527
120.687923133, 31.3965752441
120.68791735, 31.3965824526
120.687911231, 31.3965899963
120.687905028, 31.3965976238
120.687899077, 31.3966049999
120.687892959, 31.3966125436
120.687886085, 31.3966209255
120.687880469, 31.3966279663
120.687874602, 31.3966351748
120.687868735, 31.3966422994
120.687863035, 31.3966492563
120.687857419, 31.3966560457
120.687851384, 31.3966632541
120.687844092, 31.3966720551
120.687837973, 31.3966794312
120.687831854, 31.3966868073
120.687825736, 31.3966940995
120.687818443, 31.3967028167
120.687813666, 31.3967086002
120.687806373, 31.3967172336
120.687801596, 31.3967230171
120.687794387, 31.3967315666
120.687788352, 31.3967386913
120.687782317, 31.3967458159
120.687776282, 31.3967529405
120.687770247, 31.3967601489
120.687764212, 31.3967672735
120.687758178, 31.3967743982
120.687750885, 31.3967829477
120.68774485, 31.3967900723
120.687738899, 31.3967971131
120.687734289, 31.396802729
120.687727164, 31.3968111109
120.687721297, 31.3968180679
120.687715095, 31.3968252763
120.687708892, 31.3968324848
120.687702857, 31.3968396094
120.687696738, 31.396846734
120.687690619, 31.3968537748
120.687683327, 31.3968622405
120.687678466, 31.3968678564
120.687669916, 31.3968778308
120.687663713, 31.3968850393
120.687657427, 31.3968923315
120.687652482, 31.3968979474
120.687645189, 31.3969064131
120.687638903, 31.3969137054
120.687632365, 31.3969211653
120.687626163, 31.3969282061
120.687620128, 31.3969349954
120.687612835, 31.3969432935
120.687606717, 31.3969502505
120.687600514, 31.3969572075
120.68759582, 31.3969625719
120.687588276, 31.3969711214
120.687581571, 31.3969785813
120.687573943, 31.396987047
120.687568998, 31.3969924953
120.687562628, 31.3969994523
120.687556006, 31.3970067445
120.687548295, 31.3970151264
120.687542176, 31.3970218319
120.687535722, 31.3970287889
120.687530357, 31.3970344886
120.687522562, 31.3970429543
120.687515102, 31.3970509171
120.687509906, 31.3970563654
120.6875032, 31.39706349
120.687495237, 31.3970717881
120.687488783, 31.3970786612
120.687482329, 31.3970854506
120.687476126, 31.3970920723
120.687469756, 31.3970986102
120.687462632, 31.3971060701
120.68745601, 31.3971128594
120.687449053, 31.397119984
120.687442264, 31.397126941
120.687435558, 31.3971338142
120.687428769, 31.3971406873
120.687421812, 31.3971478119
120.687413597, 31.3971560262
120.687408233, 31.3971614745
120.68740027, 31.3971694373
120.6873939, 31.3971758075
120.687387278, 31.3971824292
120.687380573, 31.3971891347
120.687373951, 31.3971957564
120.687366156, 31.3972035516
120.687359702, 31.3972099219
120.687353499, 31.3972160406
120.68734671, 31.3972226623
120.687339921, 31.3972293679
120.68733288, 31.397236241
120.687325671, 31.3972432818
120.687318882, 31.3972499035
120.687310668, 31.3972577825
120.687303878, 31.3972644042
120.687297005, 31.3972710259
120.687291473, 31.3972763065
120.687283259, 31.3972842693
120.687276386, 31.3972908072
120.687269513, 31.3972974289
120.687261298, 31.3973053079
120.687254425, 31.3973119296
120.687247552, 31.3973184675
120.687242188, 31.3973238319
120.687233889, 31.3973318785
120.687226849, 31.3973387517
120.687219892, 31.3973454572
120.687212851, 31.3973522466
120.687205894, 31.3973588683
120.687198853, 31.39736549
120.687190555, 31.397373369
120.687185023, 31.3973786496
120.687175635, 31.3973874506
120.687169014, 31.3973935694
120.687162392, 31.3973998558
120.687155854, 31.3974058907
120.687148729, 31.3974125125
120.687141521, 31.3974191342
120.687134229, 31.3974258397
120.687126769, 31.3974327128
120.687119644, 31.3974391669
120.68711252, 31.3974457048
120.687104138, 31.3974533323
120.687097264, 31.3974596187
120.687090056, 31.3974661566
120.687082848, 31.3974726107
120.687075807, 31.3974789809
120.68706885, 31.3974851836
120.687061809, 31.3974915538
120.687054768, 31.3974978402
120.687046302, 31.3975052163
120.687039681, 31.3975110836
120.687032389, 31.3975174539
120.687024929, 31.3975240756
120.687017636, 31.3975304458
120.687010428, 31.3975368161
120.687001627, 31.3975444436
120.686994167, 31.3975508977
120.6869883, 31.3975559268
120.68697975, 31.3975633029
120.686972542, 31.3975695055
120.686965333, 31.3975757081
120.686958125, 31.3975818269
120.686950916, 31.3975879457
120.686943624, 31.3975940645
120.686936332, 31.3976001833
120.686928872, 31.3976063859
120.686919568, 31.397614181
120.686912192, 31.3976203837
120.686905235, 31.3976261672
120.68689811, 31.3976321183
120.686891153, 31.397637818
120.686882352, 31.3976451103
120.686874725, 31.3976513129
120.686867181, 31.3976575993
120.68685947, 31.3976638857
120.686851926, 31.3976700883
120.686844299, 31.3976762909
120.686836839, 31.3976823259
120.686829295, 31.3976883609
120.686821919, 31.397694312
120.68681471, 31.3977001794
120.686807418, 31.3977059629
120.68680021, 31.3977118302
120.686791576, 31.3977187034
120.686784703, 31.3977241516
120.686777243, 31.3977300189
120.686768191, 31.3977372274
120.686762072, 31.3977420051
120.686752517, 31.3977496326
120.686744805, 31.3977556676
120.686737094, 31.3977617025
120.686728209, 31.3977685757
120.686722593, 31.3977728505
120.686713876, 31.3977796398
120.6867065, 31.3977854233
120.686698873, 31.3977912907
120.686690994, 31.3977974094
120.686683366, 31.3978032768
120.686675655, 31.3978092279
120.686668027, 31.3978150953
120.6866604, 31.397820795
120.68665294, 31.3978264946
120.686645648, 31.3978320267
120.686638188, 31.3978376426
120.6866288, 31.3978447672
120.686621089, 31.3978506345
120.686613377, 31.397856418
120.68660575, 31.3978621177
120.6865972, 31.3978685718
120.68658974, 31.3978741039
120.686582364, 31.3978796359
120.686574737, 31.3978853356
120.686566774, 31.3978912029
120.686558979, 31.3978969865
120.686551183, 31.39790277
120.686543388, 31.3979084697
120.686535593, 31.3979141694
120.686527882, 31.3979198691
120.686520925, 31.3979248982
120.686513633, 31.3979301788
120.686504161, 31.397937052
120.686496366, 31.3979427516
120.686488403, 31.3979484513
120.686480524, 31.397954151
120.686472729, 31.3979597669
120.686464934, 31.3979653828
120.686457641, 31.3979705796
120.686450182, 31.3979757763
120.686442303, 31.3979813922
120.686432915, 31.3979880139
120.686425036, 31.3979936298
120.686418666, 31.3979980722
120.686409278, 31.3980046101
120.68639989, 31.398011148
120.686392179, 31.3980165962
120.686385892, 31.3980209548
120.686376588, 31.3980274089
120.686368793, 31.3980327733
120.686361082, 31.3980381377
120.686353287, 31.3980434183
120.686343983, 31.3980498724
120.686336188, 31.398055153
